website;is_description_availaible
https://www.timesnownews.com/latest-news;yes
https://techcrunch.com/;yes
https://www.bloomberg.com/europe;no
https://news.ycombinator.com/;yes
https://www.bbc.com/news;yes
https://www.cnn.com;yes
https://www.nytimes.com;yes
https://www.reuters.com;yes
https://www.theguardian.com;yes
https://www.aljazeera.com;yes
https://apnews.com;yes
https://www.npr.org;yes
https://www.washingtonpost.com;yes
https://www.bbc.co.uk/news/world;yes
https://www.usatoday.com;yes
https://www.wsj.com;yes
https://time.com;yes
https://www.cnbc.com;yes
https://www.latimes.com;yes
https://www.pbs.org/newshour;yes
https://news.sky.com;yes
https://www.independent.co.uk;yes
https://abcnews.go.com;yes
https://www.nbcnews.com;yes
https://www.telegraph.co.uk;yes
https://www.huffpost.com;yes
https://www.economist.com;yes
https://www.forbes.com;yes
https://www.vox.com;yes
https://timesofindia.indiatimes.com;yes
https://www.dailymail.co.uk;yes
https://www.smh.com.au;yes
https://www.bostonglobe.com;yes
https://www.thetimes.co.uk;yes
https://www.abc.net.au/news;yes
https://www.thestar.com;yes
https://www.mirror.co.uk;yes
https://www.hindustantimes.com;yes
https://www.foxnews.com;yes
https://www.chicagotribune.com;yes
https://www.dailystar.co.uk;yes
https://www.ft.com;yes
https://www.dawn.com;yes
https://www.miamiherald.com;yes
